id_venda;produto;categoria;preco;custo;quantidade;data_venda;ValorDaVenda;ValorDoCusto;ValorDoLucro;mes
24;Relógio;Acessórios;188.22;117.13;3;2025-01-24;564.66;351.39;213.26999999999998;Janeiro
25;Chinelo;Calçados;24.8;11.63;3;2025-01-25;74.4;34.89;39.510000000000005;Janeiro
26;Blusa;Roupas;126.62;82.64;1;2025-01-26;126.62;82.64;43.980000000000004;Janeiro
27;Jaqueta;Roupas;350.92;172.4;3;2025-01-27;1052.76;517.2;535.56;Janeiro
28;Calça;Roupas;149.99;84.42;3;2025-01-28;449.97;253.26;196.71000000000004;Janeiro
29;Chinelo;Calçados;21.78;15.74;1;2025-01-29;21.78;15.74;6.040000000000001;Janeiro
30;Camiseta;Roupas;88.47;41.92;3;2025-01-30;265.40999999999997;125.76;139.64999999999998;Janeiro
31;Camisa;Roupas;75.7;47.16;5;2025-01-31;378.5;235.79999999999998;142.70000000000002;Janeiro
32;Chinelo;Calçados;37.45;19.17;2;2025-02-01;74.9;38.34;36.56;Fevereiro
33;Cinto;Acessórios;86.87;41.4;2;2025-02-02;173.74;82.8;90.94000000000001;Fevereiro
34;Jaqueta;Roupas;355.25;189.18;1;2025-02-03;355.25;189.18;166.07;Fevereiro
35;Bermuda;Roupas;36.21;25.05;4;2025-02-04;144.84;100.2;44.64;Fevereiro
36;Chinelo;Calçados;67.83;36.75;1;2025-02-05;67.83;36.75;31.08;Fevereiro
37;Óculos;Acessórios;58.34;41.93;4;2025-02-06;233.36;167.72;65.64000000000001;Fevereiro
38;Camisa;Roupas;62.91;48.22;2;2025-02-07;125.82;96.44;29.379999999999995;Fevereiro
39;Bolsa;Acessórios;176.86;98.59;1;2025-02-08;176.86;98.59;78.27000000000001;Fevereiro
40;Bolsa;Acessórios;426.5;226.05;5;2025-02-09;2132.5;1130.25;1002.25;Fevereiro
41;Carteira;Acessórios;85.52;44.06;3;2025-02-10;256.56;132.18;124.38;Fevereiro
42;Cinto;Acessórios;29.15;18.3;4;2025-02-11;116.6;73.2;43.39999999999999;Fevereiro
43;Chinelo;Calçados;60.1;31.89;3;2025-02-12;180.3;95.67;84.63000000000001;Fevereiro
44;Chinelo;Calçados;66.56;35.18;3;2025-02-13;199.68;105.53999999999999;94.14000000000001;Fevereiro
45;Carteira;Acessórios;101.48;73.31;1;2025-02-14;101.48;73.31;28.17;Fevereiro
46;Blusa;Roupas;80.1;52.06;3;2025-02-15;240.29999999999998;156.18;84.11999999999998;Fevereiro
47;Blusa;Roupas;97.12;44.64;5;2025-02-16;485.6;223.2;262.40000000000003;Fevereiro
48;Carteira;Acessórios;122.83;58.41;3;2025-02-17;368.49;175.23;193.26000000000002;Fevereiro
49;Blusa;Roupas;136.78;67.87;1;2025-02-18;136.78;67.87;68.91;Fevereiro
50;Tênis;Calçados;346.32;190.37;5;2025-02-19;1731.6;951.85;779.7499999999999;Fevereiro
51;Chinelo;Calçados;35.06;23.76;2;2025-02-20;70.12;47.52;22.6;Fevereiro
52;Meia;Roupas;14.75;9.5;3;2025-02-21;44.25;28.5;15.75;Fevereiro
53;Boné;Acessórios;12.15;6.46;1;2025-02-22;12.15;6.46;5.69;Fevereiro
54;Óculos;Acessórios;165.68;77.19;2;2025-02-23;331.36;154.38;176.98000000000002;Fevereiro
55;Tênis;Calçados;538.38;253.55;2;2025-02-24;1076.76;507.1;569.66;Fevereiro
56;Camiseta;Roupas;34.29;26.1;4;2025-02-25;137.16;104.4;32.75999999999999;Fevereiro
57;Tênis;Calçados;421.27;249.96;5;2025-02-26;2106.35;1249.8;856.55;Fevereiro
58;Meia;Roupas;25.36;11.7;3;2025-02-27;76.08;35.099999999999994;40.980000000000004;Fevereiro
59;Camiseta;Roupas;63.52;40.59;1;2025-02-28;63.52;40.59;22.93;Fevereiro
60;Óculos;Acessórios;249.72;120.87;4;2025-03-01;998.88;483.48;515.4;Março
61;Meia;Roupas;8.5;5.85;5;2025-03-02;42.5;29.25;13.25;Março
62;Calça;Roupas;181.13;84.54;4;2025-03-03;724.52;338.16;386.35999999999996;Março
63;Boné;Acessórios;34.85;19.22;5;2025-03-04;174.25;96.1;78.15;Março
64;Óculos;Acessórios;111.97;60.41;5;2025-03-05;559.85;302.04999999999995;257.80000000000007;Março
65;Chinelo;Calçados;56.59;39.68;3;2025-03-06;169.77;119.03999999999999;50.73000000000002;Março
66;Blusa;Roupas;127.68;61.1;5;2025-03-07;638.4000000000001;305.5;332.9000000000001;Março
67;Calça;Roupas;191.31;99.26;4;2025-03-08;765.24;397.04;368.2;Março
68;Cinto;Acessórios;56.16;34.59;5;2025-03-09;280.79999999999995;172.95000000000002;107.84999999999994;Março
69;Óculos;Acessórios;206.19;101.65;3;2025-03-10;618.5699999999999;304.95000000000005;313.6199999999999;Março
70;Cinto;Acessórios;79.78;38.35;3;2025-03-11;239.34;115.05000000000001;124.28999999999999;Março
71;Camiseta;Roupas;74.63;42.4;4;2025-03-12;298.52;169.6;128.92;Março
72;Calça;Roupas;161.72;80.12;2;2025-03-13;323.44;160.24;163.2;Março
73;Boné;Acessórios;35.45;18.35;2;2025-03-14;70.9;36.7;34.2;Março
74;Chinelo;Calçados;70.32;33.47;5;2025-03-15;351.59999999999997;167.35;184.24999999999997;Março
75;Carteira;Acessórios;88.01;53.73;1;2025-03-16;88.01;53.73;34.28000000000001;Março
76;Chinelo;Calçados;20.04;11.01;5;2025-03-17;100.19999999999999;55.05;45.14999999999999;Março
77;Meia;Roupas;5.71;3.32;4;2025-03-18;22.84;13.28;9.56;Março
78;Chinelo;Calçados;39.51;25.36;4;2025-03-19;158.04;101.44;56.599999999999994;Março
79;Bermuda;Roupas;73.61;55.45;4;2025-03-20;294.44;221.8;72.63999999999999;Março
80;Relógio;Acessórios;183.79;90.08;4;2025-03-21;735.16;360.32;374.84;Março
81;Carteira;Acessórios;78.67;55.62;4;2025-03-22;314.68;222.48;92.20000000000002;Março
82;Tênis;Calçados;384.87;193.11;3;2025-03-23;1154.6100000000001;579.33;575.2800000000001;Março
83;Blusa;Roupas;79.91;42.95;2;2025-03-24;159.82;85.9;73.91999999999999;Março
84;Camisa;Roupas;37.69;27.99;4;2025-03-25;150.76;111.96;38.8;Março
85;Boné;Acessórios;28.76;16.1;1;2025-03-26;28.76;16.1;12.66;Março
86;Calça;Roupas;177.75;90.99;1;2025-03-27;177.75;90.99;86.76;Março
87;Relógio;Acessórios;606.13;343.48;1;2025-03-28;606.13;343.48;262.65;Março
88;Boné;Acessórios;24.47;12.14;1;2025-03-29;24.47;12.14;12.329999999999998;Março
89;Calça;Roupas;104.54;61.67;3;2025-03-30;313.62;185.01;128.61;Março
90;Blusa;Roupas;45.91;34.71;1;2025-03-31;45.91;34.71;11.199999999999996;Março
91;Jaqueta;Roupas;440.79;214.77;4;2025-04-01;1763.16;859.08;904.08;Abril
92;Jaqueta;Roupas;295.98;177.44;5;2025-04-02;1479.9;887.2;592.7;Abril
93;Cinto;Acessórios;23.15;16.07;1;2025-04-03;23.15;16.07;7.079999999999998;Abril
94;Boné;Acessórios;19.29;10.75;3;2025-04-04;57.87;32.25;25.619999999999997;Abril
95;Jaqueta;Roupas;341.03;180.04;3;2025-04-05;1023.0899999999999;540.12;482.9699999999999;Abril
96;Bermuda;Roupas;79.47;36.8;1;2025-04-06;79.47;36.8;42.67;Abril
97;Carteira;Acessórios;157.8;87.72;5;2025-04-07;789.0;438.6;350.4;Abril
98;Calça;Roupas;149.21;88.94;1;2025-04-08;149.21;88.94;60.27000000000001;Abril
99;Cinto;Acessórios;30.25;18.67;3;2025-04-09;90.75;56.010000000000005;34.739999999999995;Abril
100;Chinelo;Calçados;42.34;32.25;2;2025-04-10;84.68;64.5;20.180000000000007;Abril
